Frame #,# Obj,X,Y,Z,Doppler,Intensity
37,64,-0.3457,0.45898,0.2207,0.51373,35
37,64,1.373,2.9668,2.9375,0.51373,105
37,64,1.3867,2.998,2.9668,0.51373,123
37,64,-2.5527,5.5156,4.2695,0.51373,64
37,64,-2.334,5.5957,4.3672,0.51373,124
37,64,-2.3477,4.877,5.2148,0.51373,75
37,64,0,6.3828,4.8203,0.51373,116
37,64,-2.1016,6.9082,1.9238,-0.77059,62
37,64,0.5,7.6738,2.2031,-0.77059,63
37,64,1.5117,3.6582,1.9102,-0.51373,660
37,64,1.5254,3.7402,1.8379,-0.51373,779
37,64,1.541,3.8438,1.7148,-0.51373,447
37,64,0.91992,5.502,1.8867,-0.51373,442
37,64,0.74219,5.5,2.0977,-0.51373,484
37,64,0.57227,6.0801,0.13672,-0.51373,151
37,64,0.76953,6.0957,0.3418,-0.51373,225
37,64,-2.0898,6.748,2.2949,-0.51373,382
37,64,-2.1016,6.6973,2.5586,-0.51373,750
37,64,-1.8789,6.4297,3.4063,-0.51373,463
37,64,-2.5977,6.4043,-3.0625,-0.51373,118
37,64,-2.1504,6.957,2.3359,-0.51373,358
38,64,-0.42773,0.23633,0.19727,0,29
38,64,-0.32227,0.22852,0.41406,0,11
38,64,-0.46094,0.31055,0.26172,0,15
38,64,-1.8789,1.6563,0.0019531,0,266
38,64,1.668,2.8535,1.3203,0,799
38,64,1.6895,2.7344,1.6309,0,1219
38,64,1.8242,2.6895,1.6582,0,1223
38,64,1.4961,3.1758,2.5703,0,1623
38,64,1.5117,3.2324,2.5664,0,2136
38,64,1.5254,3.2402,2.623,0,1207
38,64,1.1055,4.5273,1.959,0,1017
38,64,1.1152,4.5508,2.0117,0,1024
38,64,0.57227,5.9863,1.0762,0,301
38,64,0.57617,5.9336,1.5234,0,284
38,64,-2.0762,5.8652,3.9746,0,612
38,64,-2.3203,6.0469,3.6348,0,1836
38,64,-2.1016,6.332,3.3652,0,2176
38,64,-2.1133,6.6133,2.877,0,1050
38,64,-2.127,6.0781,3.959,0,438
38,64,-2.1387,6.6367,3.0313,0,746
38,64,-1.9121,7.0527,2.2578,0,558
38,64,0,7.1797,3.5254,0,896
38,64,0.066406,0.48047,0.20898,0.25686,49
38,64,0.052734,0.46484,-0.32813,0.25686,22
38,64,-0.38477,0.34766,0.33203,0.25686,23
38,64,0.085938,0,0.91992,0.25686,102
38,64,0.51367,0.81836,-0.011719,0.25686,100
38,64,-1.9219,1.5313,0.12305,0.25686,110
38,64,-1.8789,1.6563,0.044922,0.25686,122
38,64,2.3906,0.85742,0.71289,0.25686,96
38,64,2.5137,0.69922,0.61719,0.25686,207
38,64,2.4688,1.0742,0.41406,0.25686,178
38,64,0.048828,0.44141,0.28516,0.51373,19
38,64,1.373,2.8867,3.0156,0.51373,77
38,64,-2.5527,5.2148,4.6309,0.51373,69
38,64,-2.334,5.5273,4.4531,0.51373,79
38,64,-0.36328,0.28516,0.14648,-0.51373,69
38,64,-0.41211,0.2793,0.17383,-0.51373,35
38,64,-1.8008,1.7129,-0.31445,-0.51373,223
38,64,1.8027,2.9082,1.1348,-0.51373,1108
38,64,1.8242,2.916,1.2129,-0.51373,1106
38,64,1.6309,3.4785,2.043,-0.51373,1455
38,64,1.5117,3.6094,2.002,-0.51373,1947
38,64,1.5254,3.6348,2.0391,-0.51373,1109
38,64,1.1055,4.7598,1.291,-0.51373,951
38,64,1.1152,4.7891,1.3438,-0.51373,970
38,64,0.76367,6.0547,0.29492,-0.51373,291
38,64,0.76953,6.0625,0.7168,-0.51373,274
38,64,-2.0762,6.4004,3.041,-0.51373,554
38,64,-2.0898,6.582,2.7363,-0.51373,1668
38,64,-2.1016,6.7578,2.3984,-0.51373,1976
38,64,-2.1133,6.9609,1.8867,-0.51373,970
38,64,-1.8906,6.7402,2.8535,-0.51373,389
38,64,-2.1387,6.9941,2.082,-0.51373,667
38,64,-1.9121,7.291,1.2871,-0.51373,520
38,64,0,7.6484,2.3418,-0.51373,856
38,64,-0.33008,0.25977,0.13281,-0.25686,154
38,64,-0.37695,0.25781,0.15625,-0.25686,185
38,64,-0.42773,0.25781,0.16797,-0.25686,95
38,64,-0.32227,0.33594,0.33203,-0.25686,34
38,64,-0.42383,0.36523,0.25781,-0.25686,49
38,64,-0.47461,0.4043,0.21484,-0.25686,40
38,64,-1.8457,1.625,-0.091797,-0.25686,521
38,64,-1.8008,1.7324,-0.1875,-0.25686,569
39,64,0.31641,0.16602,-0.25586,0,98
39,64,-0.37695,0.2207,0.20508,0,89
39,64,-0.46094,0.16602,0.19531,0,44
39,64,0.072266,0.55469,-0.11523,0,31
39,64,-0.38477,0.32617,0.35156,0,27
39,64,-1.8887,1.502,0.14453,0,276
39,64,-1.9219,1.5313,0.11523,0,366
39,64,1.7578,2.707,1.3926,0,1497
39,64,1.7793,2.6934,1.502,0,2338
39,64,1.8027,2.6387,1.668,0,1656
39,64,1.4648,3.2422,2.3496,0,802
39,64,1.4805,3.1211,2.5742,0,1565
39,64,1.4961,3.0762,2.6875,0,1470
39,64,1.252,4.2012,2.4258,0,727
39,64,1.2637,4.3379,2.2656,0,871
39,64,0.90625,4.9434,2.8984,0,582
39,64,0.92773,5.748,1.1426,0,323
39,64,0.56836,5.9219,1.1777,0,230
39,64,-2.293,5.5664,4.1973,0,670
39,64,-2.0762,5.7617,4.125,0,1922
39,64,-2.0898,5.8652,4.0508,0,1846
39,64,-2.334,6.0898,3.6445,0,1052
39,64,-2.1133,6.2656,3.5723,0,1381
39,64,-1.8906,6.4258,3.5059,0,921
39,64,-0.49414,0.10352,0.15234,0.25686,38
39,64,-0.33984,0.18945,0.41992,0.25686,31
39,64,-0.42383,0.12109,0.42969,0.25686,28
39,64,0.11523,0.45703,-0.79297,0.25686,102
39,64,0.51367,0.80078,0.17188,0.25686,120
39,64,-2,1.3984,0.32031,0.25686,88
39,64,2.4316,0.80664,0.4043,0.25686,70
39,64,2.3906,0.97266,0.54492,0.25686,221
39,64,2.4297,0.97852,0.57031,0.25686,332
39,64,2.4688,0.9707,0.61914,0.25686,251
39,64,2.6777,0,-1.1777,0.25686,125
39,64,-2.3066,5.0684,4.8477,0.25686,108
39,64,-2.3203,5.2285,4.7363,0.25686,111
39,64,-0.47852,0.052734,0.2168,0.51373,14
39,64,2.3906,0.9043,0.65234,0.51373,77
39,64,2.4297,0.91602,0.66797,0.51373,109
39,64,0.23047,0.4375,-0.18359,0.77059,13
39,64,0.21484,0.38867,-0.28516,1.0275,14
39,64,0.3457,0,-0.48242,-0.77059,8
39,64,1.7578,2.9766,0.64258,-0.77059,63
39,64,1.7793,2.998,0.71484,-0.77059,97
39,64,-2.0762,6.5176,2.7773,-0.77059,96
39,64,-2.0898,6.5996,2.6934,-0.77059,99
39,64,-0.31641,0.26758,0.14648,-0.51373,98
39,64,-0.37695,0.25977,0.15234,-0.51373,91
39,64,-0.46094,0.2168,0.13281,-0.51373,47
39,64,-0.33984,0.37695,0.26367,-0.51373,39
39,64,-0.38477,0.37305,0.30469,-0.51373,35
39,64,-0.58984,1.3223,-0.097656,-0.51373,68
39,64,-1.8457,1.6172,-0.19531,-0.51373,312
39,64,1.7578,2.8926,0.95313,-0.51373,1455
39,64,1.7793,2.8965,1.0586,-0.51373,2280
39,64,1.8027,2.873,1.2188,-0.51373,1597
39,64,1.4648,3.5742,1.8047,-0.51373,789
39,64,1.6152,3.4297,2.0469,-0.51373,1525
39,64,1.4961,3.4922,2.123,-0.51373,1436
39,64,1.4082,4.4629,1.791,-0.51373,768
39,64,1.2637,4.6289,1.5918,-0.51373,940
39,64,0.90625,5.3184,2.1328,-0.51373,620
39,64,1.1133,5.8145,0.40625,-0.51373,344
40,64,-0.32227,0.13086,0.18945,0,140
40,64,-0.37109,0.13086,0.19531,0,212
40,64,-0.4082,0.14063,0.21875,0,138
40,64,0.033203,0.50195,0.15625,0,48
40,64,0.46484,0,-0.49023,0,52
40,64,-0.38477,0.43359,0.20508,0,48
40,64,-0.57227,1.2832,0.076172,0,114
40,64,-0.67969,1.2813,-0.021484,0,120
40,64,-1.8125,1.5918,0.15625,0,260
40,64,1.4648,3.0352,2.6094,0,1097
40,64,1.6152,2.8633,2.7832,0,1009
40,64,0.90625,4.7402,3.2188,0,504
40,64,0.91406,5.2344,2.4355,0,432
40,64,0.73633,5.5859,1.7168,0,332
40,64,0.74805,5.6172,1.9004,0,265
40,64,0.75195,5.4492,2.4492,0,339
40,64,-2.0527,5.6016,4.1992,0,309
40,64,-2.0645,5.4551,4.457,0,559
40,64,-2.5391,5.9277,3.5977,0,310
40,64,-2.5527,6.3633,2.8574,0,563
40,64,-2.8027,6.4434,2.541,0,537
40,64,-2.8184,6.5215,2.4492,0,457
40,64,-3.0703,6.3047,2.8242,0,327
40,64,-2.8516,6.3613,3.0371,0,436
40,64,0.24414,6.9219,3.6387,0,880
40,64,-0.37109,0.10352,0.21094,0.25686,76
40,64,0.048828,0.42578,-0.30664,0.25686,32
40,64,-0.33984,0.42383,0.17773,0.25686,32
40,64,0.57422,0.75781,0.17188,0.25686,90
40,64,-1.8887,1.4688,0.3457,0.25686,108
40,64,-1.8457,1.6074,0.26367,0.25686,98
40,64,2.4727,0.70313,0.58984,0.25686,163
40,64,2.5137,0.83398,0.41797,0.25686,197
40,64,2.4688,1.1289,0.23047,0.25686,167
40,64,2.5488,0.91992,-0.75195,0.25686,108
40,64,2.7676,0.56055,-0.43359,0.25686,112
40,64,-2.9004,0,-0.41406,0.25686,88
40,64,-0.47852,0.19727,-0.10547,1.5412,15
40,64,-0.30859,0.20117,0.14258,-0.51373,122
40,64,-0.37109,0.19336,0.13672,-0.51373,186
40,64,-0.4082,0.20313,0.16016,-0.51373,121
40,64,0.048828,0.51367,0.11133,-0.51373,51
40,64,-0.33984,0.45508,0.0625,-0.51373,51
40,64,-0.38477,0.4707,0.091797,-0.51373,48
40,64,-0.57227,1.2813,-0.10938,-0.51373,105
40,64,-0.63477,1.293,-0.16602,-0.51373,112
40,64,1.5996,3.3691,2.0645,-0.51373,1048
