Frame, Obj,X,Y,Z,Doppler,Intensity
205,2,0.052734,0.5332,0.19922,1.798,13
212,2,-0.23047,0.22266,-0.41797,-1.2843,14
212,2,0.11523,0.46094,0.23047,-1.2843,11
216,2,-0.26367,0,0.52148,-1.0275,12
216,2,0.51172,0,0.37891,-1.0275,10
221,2,0.099609,0.51758,0.015625,-0.51373,12
221,2,-0.21484,0.29492,0.38086,-0.51373,11
226,2,0.47852,0,0.47266,0.77059,11
226,2,-0.11523,0.51367,-0.039063,0.77059,9
231,6,0.24805,0,-0.52734,0.77059,16
231,6,0.23047,0.20313,-0.42773,1.0275,13
231,6,-0.41211,0.32227,-0.070313,-0.51373,14
231,6,-0.36328,0,0.44922,0.77059,12
231,6,0.46094,0,-0.30078,1.0275,11
231,6,0.015625,0.46289,0.25195,-0.51373,8
232,2,-0.52734,0,0.46484,-0.77059,10
232,2,-0.082031,0.24609,-0.45898,-0.77059,10
234,2,-0.23047,0.46875,-0.070313,1.798,12
234,2,0.42773,0.2832,0.11914,1.798,11
240,2,0.066406,0.44922,-0.26953,1.2843,12
240,2,-0.26367,0.41211,0.19531,1.2843,12
241,2,-0.21484,0.15039,0.45703,-1.2843,17
241,2,-0.49414,0,0.34375,-1.2843,13
244,2,-0.51172,0,0.2793,-1.0275,15
244,2,0.36328,0.38086,-0.046875,-1.0275,13
245,4,0.44531,0.24023,0.14844,-1.0275,10
245,4,-0.052734,0.46094,0.33203,-1.0275,10
245,4,-0.3125,0,0.42773,-1.0275,7
245,4,0.16016,0.3418,-0.42969,-1.0275,8
260,8,0.19727,0.43359,-0.22656,1.2843,13
260,8,-0.17773,0.35938,-0.4082,1.2843,14
260,8,-0.18164,0.10742,-0.48242,1.5412,11
260,8,-0.19727,0.36914,-0.38867,1.5412,16
260,8,-0.18164,0.17578,-0.46289,1.2843,11
260,8,0.19727,0.48828,-0.22266,1.2843,12
260,8,0.19727,0.4668,-0.14844,1.5412,10
260,8,0.19727,0.50586,-0.17773,1.5412,12
267,2,0.46094,0,0.3457,1.2843,14
267,2,-0.3125,0.27148,-0.32617,1.2843,9
284,2,-0.19727,0,0.50391,-1.0275,14
284,2,0.13281,0.4375,0.26367,-1.0275,11
294,2,-0.14844,0.47461,0.17578,0.77059,9
294,2,0.16406,0.48828,0.11133,0.77059,8
295,2,-0.26367,0.32031,0.32422,0.77059,10
295,2,-0.42773,0.082031,-0.29688,0.77059,9
296,1,-0.33008,0.35742,0.20508,-1.2843,14
305,4,-0.60352,1.3965,0.88086,0,37
305,4,-0.60352,1.4902,0.71289,-0.25686,65
305,4,-1.6484,0,-0.74414,0,30
305,4,-1.5938,0,-0.95117,-0.25686,55
310,2,0.015625,0.39844,-0.3457,1.2843,11
310,2,0.42773,0,-0.34375,1.2843,9
311,2,0.099609,0.48633,0.17773,1.798,8
311,2,0.44531,0,-0.50391,1.798,8
330,2,-0.048828,0.48633,-0.19727,-0.77059,9
330,2,0.41211,0.32617,-0.044922,-0.77059,7
337,2,-0.41211,0.28125,0.17188,1.2843,12
337,2,0.3125,0.41992,0.0625,1.2843,10
348,2,-0.26367,0.30859,0.33594,1.2843,16
348,2,0.3457,0.29883,0.26367,1.2843,11
351,3,0,0.12891,0.51172,1.0275,10
351,3,-0.33984,0,-0.49023,1.0275,18
351,3,-0.33008,0,-0.49219,1.0275,9
353,14,1.4219,1.373,-0.085938,0.25686,124
353,14,1.5156,1.3379,0.0019531,0.25686,156
353,14,0,6.8281,0.61328,0.25686,68
353,14,0.21484,6.7383,1.4707,0.25686,86
353,14,0,6.6309,2.0645,0.25686,94
353,14,0.21875,6.6211,2.2266,0.25686,93
353,14,1.5391,0.81836,0.23633,-0.25686,87
353,14,1.4824,1.2891,-0.21875,-0.25686,166
353,14,1.5156,1.3262,-0.16992,-0.25686,200
353,14,1.5488,1.3594,-0.13672,-0.25686,122
353,14,0,6.8418,0.43359,-0.25686,90
353,14,0,6.8691,0.6582,-0.25686,102
353,14,0.2168,6.8359,1.2012,-0.25686,102
353,14,0.4375,6.9063,0.97266,-0.25686,98
355,10,1.4219,1.375,0.019531,0.25686,83
355,10,1.5156,1.3379,-0.029297,0.25686,103
355,10,0,6.666,1.6055,0.25686,74
355,10,0.21484,6.6445,1.8496,0.25686,97
355,10,0.43359,6.5684,2.2129,0.25686,106
355,10,0.4375,6.6816,1.998,0.25686,102
355,10,0,6.8535,0.16406,-0.25686,75
355,10,0,6.8867,0.41797,-0.25686,92
355,10,0.2168,6.877,0.93555,-0.25686,97
355,10,0.21875,6.9355,0.82422,-0.25686,91
356,27,0,6.8535,0.16406,0,92
356,27,0.21484,6.8867,0.35742,0,100
356,27,0.2168,6.8984,0.76172,0,90
356,27,0.4375,6.9297,0.78711,0,79
356,27,0.43945,6.9902,-0.63477,0,46
356,27,-0.21289,6.7754,0.67969,0.25686,177
356,27,0,6.8262,0.64844,0.25686,407
356,27,0,6.8418,0.9043,0.25686,458
356,27,0.2168,6.7676,1.541,0.25686,440
356,27,0.4375,6.8008,1.5469,0.25686,397
356,27,0.2207,7.0059,0.55664,0.25686,223
356,27,0,6.7871,0.9668,0.51373,149
356,27,0.21484,6.7598,1.3691,0.51373,165
356,27,0,6.6758,1.9121,0.51373,160
356,27,0.21875,6.6777,2.0469,0.51373,145
356,27,0.2207,6.959,0.98828,0.51373,82
356,27,0,6.8438,-0.41016,-0.51373,91
356,27,0.21484,6.8965,0.085938,-0.51373,105
356,27,0.43359,6.8984,0.67773,-0.51373,102
356,27,0.4375,6.9434,0.6582,-0.51373,90
