Frame,Obj,X,Y,Z,Doppler,Intensity
42,8,0.3457,2.6289,-0.79492,-1.0275,181
42,8,0.35156,2.791,0.037109,-1.0275,160
42,8,-0.76563,0,2.6523,1.0275,91
42,8,-0.69141,0,2.6816,1.0275,114
42,8,-0.69141,1.916,1.875,-1.0275,135
42,8,-0.70313,1.0801,2.5,-1.0275,150
43,3,0.16992,2.668,-0.52539,-1.0275,167
43,3,0.17383,2.7148,-0.51172,-1.0275,196
43,3,-0.7793,1.9199,1.8379,-1.0275,114
44,2,0.085938,2.7363,-0.41797,-1.0275,194
44,2,0.085938,2.748,-0.32813,-0.77059,164
48,6,0.25586,2.7129,0.013672,1.0275,180
48,6,0.3457,2.748,0.0019531,1.0275,164
48,6,-0.61523,0.21094,-2.7363,-1.0275,176
48,6,-0.76563,0,-2.6523,1.0275,100
48,6,-0.60547,0.7207,-2.6035,1.0275,118
48,6,0.52734,2.7617,0.078125,-1.0275,166
49,2,0.16992,2.6816,-0.44727,-1.0275,175
49,2,0.17383,2.7246,-0.46289,-1.0275,208
50,2,0.085938,2.7168,-0.20117,-1.0275,141
50,2,0.085938,2.7441,-0.35742,-1.0275,150
51,4,0.25977,2.7168,-0.46875,0,94
51,4,0.25977,2.7227,-0.4375,0.25686,130
51,4,0.25586,2.668,-0.49609,1.0275,181
51,4,-0.76563,0.48828,2.5684,1.0275,98
52,1,0.17383,2.7305,-0.42969,-0.77059,139
54,4,0.51953,2.3301,1.4043,-2.0549,165
54,4,0.43945,2.6348,0.88281,-2.0549,193
54,4,-0.51953,2.3633,-1.3457,-2.0549,150
54,4,-0.52734,2,-1.9063,-2.0549,153
55,5,-0.43359,0.47656,2.6934,1.0275,137
55,5,0.52734,2.7246,-0.46094,1.0275,149
55,5,0.085938,2.7207,-0.50586,-1.0275,192
55,5,0.60547,2.6836,-0.30664,1.0275,132
55,5,-0.52734,1.3379,2.418,1.0275,110
56,2,0.43359,2.6641,-0.62109,-1.0275,132
56,2,-0.69141,0.50586,2.6328,-1.0275,121
57,2,-0.43359,2.7344,0.029297,-2.0549,154
57,2,0.60547,0.86719,-2.5586,-2.0549,137
58,3,0,2.5684,1.1465,1.798,172
58,3,0.43945,2.1035,-1.8145,-2.0549,176
58,3,-0.61523,2.6074,0.85352,-2.0549,113
60,8,0.43359,2.7168,-0.32227,1.0275,163
60,8,-0.17383,2.7344,-0.40234,-2.0549,167
60,8,0,2.7578,-0.55469,-2.0549,187
60,8,0.085938,2.7305,-0.45508,-1.0275,183
60,8,0.35156,2.3945,-1.4316,-1.0275,171
60,8,-0.51953,0.98242,-2.5352,1.0275,156
60,8,0.86523,0.66797,2.5449,-2.0549,88
60,8,-0.61523,2.5391,1.043,-1.0275,140
61,4,-0.17578,2.7773,-0.41016,-2.0549,155
61,4,0.085938,2.7168,-0.19922,-1.0275,188
61,4,0.085938,2.7344,-0.42188,-1.0275,192
61,4,0.79102,0.99414,2.5098,-2.0549,81
